Year,Facility_Id,Facility_Name,APR_DRG_Code,APR_Severity_of_Illness_Code,APR_DRG_Description,APR_Severity_of_Illness_Description,APR_Medical_Surgical_Code,APR_Medical_Surgical_Description,Discharges,Mean_Charge,Median_Charge,Mean_Cost,Median_Cost
2013,116,Arnot Ogden Medical Center,23,3,Spinal Procedures,Major,P,Surgical,3,169403.85,188975.56,72609.29,79588.08
2013,116,Arnot Ogden Medical Center,24,1,Extracranial Vascular Procedures,Minor,P,Surgical,20,16787.46,13807.49,5133.46,4183.45
2013,116,Arnot Ogden Medical Center,24,2,Extracranial Vascular Procedures,Moderate,P,Surgical,19,19750.77,16863.61,6192.23,5410.92
2013,116,Arnot Ogden Medical Center,24,3,Extracranial Vascular Procedures,Major,P,Surgical,3,48091.46,50900.11,16857.38,16645.01
2013,116,Arnot Ogden Medical Center,24,4,Extracranial Vascular Procedures,Extreme,P,Surgical,2,72427.61,72427.61,21431.42,21431.42
2013,116,Arnot Ogden Medical Center,26,2,Other Nervous System & Related Procedures,Moderate,P,Surgical,2,32701.95,32701.95,11549.9,11549.9
2013,116,Arnot Ogden Medical Center,26,3,Other Nervous System & Related Procedures,Major,P,Surgical,3,39886.67,42443.36,13822.55,14390.68
2013,116,Arnot Ogden Medical Center,26,4,Other Nervous System & Related Procedures,Extreme,P,Surgical,2,73893.78,73893.78,25302.28,25302.28
2013,116,Arnot Ogden Medical Center,40,2,Spinal Disorders & Injuries,Moderate,M,Medical,1,42471.23,42471.23,13087.5,13087.5
2013,116,Arnot Ogden Medical Center,40,3,Spinal Disorders & Injuries,Major,M,Medical,3,31750.75,24193.54,10526.09,7050.09
2013,116,Arnot Ogden Medical Center,41,2,Nervous System Malignancy,Moderate,M,Medical,3,15256.07,11489.51,5117.39,4619.16
2013,116,Arnot Ogden Medical Center,41,3,Nervous System Malignancy,Major,M,Medical,11,27642.67,17154.53,9156.58,4463.91
2013,116,Arnot Ogden Medical Center,41,4,Nervous System Malignancy,Extreme,M,Medical,1,24564.92,24564.92,8451.87,8451.87
2013,116,Arnot Ogden Medical Center,42,2,Degenerative Nervous System Disorders Exc Mult Sclerosis,Moderate,M,Medical,6,13628.67,11213.52,6002.16,5990.26
2013,116,Arnot Ogden Medical Center,42,3,Degenerative Nervous System Disorders Exc Mult Sclerosis,Major,M,Medical,4,15435.65,15434.23,5915.88,5900.6
2013,116,Arnot Ogden Medical Center,42,4,Degenerative Nervous System Disorders Exc Mult Sclerosis,Extreme,M,Medical,1,57539.11,57539.11,22559.6,22559.6
2013,116,Arnot Ogden Medical Center,43,1,Multiple Sclerosis & Other Demyelinating Diseases,Minor,M,Medical,3,11048.47,9158.27,2882.76,2605.77
2013,116,Arnot Ogden Medical Center,43,2,Multiple Sclerosis & Other Demyelinating Diseases,Moderate,M,Medical,4,29835.28,18597.97,9098.21,5687.27
2013,116,Arnot Ogden Medical Center,44,1,Intracranial Hemorrhage,Minor,M,Medical,4,11674.87,12816.29,4203.4,4527.39
2013,116,Arnot Ogden Medical Center,44,2,Intracranial Hemorrhage,Moderate,M,Medical,7,21223.11,18997.42,7065.4,6284.95
2013,116,Arnot Ogden Medical Center,44,3,Intracranial Hemorrhage,Major,M,Medical,14,34035.14,33966.92,12001.74,11614.3
2013,116,Arnot Ogden Medical Center,44,4,Intracranial Hemorrhage,Extreme,M,Medical,3,19154.43,16196.73,5132.01,4508.37
2013,116,Arnot Ogden Medical Center,45,1,CVA & Precerebral Occlusion W Infarct,Minor,M,Medical,30,17161.08,16725.11,5383.71,5222.15
2013,116,Arnot Ogden Medical Center,45,2,CVA & Precerebral Occlusion W Infarct,Moderate,M,Medical,94,17074.97,15983.13,5846.6,5195.47
2013,116,Arnot Ogden Medical Center,45,3,CVA & Precerebral Occlusion W Infarct,Major,M,Medical,25,24202.03,18998.67,8884.83,6733.41
2013,116,Arnot Ogden Medical Center,45,4,CVA & Precerebral Occlusion W Infarct,Extreme,M,Medical,5,25133.58,16634.38,7601.62,3979.08
2013,116,Arnot Ogden Medical Center,46,1,Nonspecific CVA & Precerebral Occlusion W/O Infarct,Minor,M,Medical,1,9571.05,9571.05,2634.17,2634.17
2013,116,Arnot Ogden Medical Center,46,2,Nonspecific CVA & Precerebral Occlusion W/O Infarct,Moderate,M,Medical,3,11344.99,10189.33,3569.82,3151.58
2013,116,Arnot Ogden Medical Center,47,1,Transient Ischemia,Minor,M,Medical,17,12994.83,11357.15,4061.91,3318.1
2013,116,Arnot Ogden Medical Center,47,2,Transient Ischemia,Moderate,M,Medical,47,15403.37,13529.47,4891.52,4423.03
2013,116,Arnot Ogden Medical Center,47,3,Transient Ischemia,Major,M,Medical,13,18455.97,19291.73,6196.48,6444.88
2013,116,Arnot Ogden Medical Center,48,1,"Peripheral, Cranial & Autonomic Nerve Disorders",Minor,M,Medical,2,14587.53,14587.53,5270.72,5270.72
2013,116,Arnot Ogden Medical Center,48,2,"Peripheral, Cranial & Autonomic Nerve Disorders",Moderate,M,Medical,14,13311.05,13118.65,4711.66,4857.29
2013,116,Arnot Ogden Medical Center,48,3,"Peripheral, Cranial & Autonomic Nerve Disorders",Major,M,Medical,6,23736.74,23000.26,8650.1,9265.39
2013,116,Arnot Ogden Medical Center,49,1,Bacterial & Tuberculous Infections Of Nervous System,Minor,M,Medical,1,20194.8,20194.8,9469.91,9469.91
2013,116,Arnot Ogden Medical Center,49,2,Bacterial & Tuberculous Infections Of Nervous System,Moderate,M,Medical,2,88846.22,88846.22,27330.98,27330.98
2013,116,Arnot Ogden Medical Center,49,3,Bacterial & Tuberculous Infections Of Nervous System,Major,M,Medical,1,45910.74,45910.74,12894.7,12894.7
2013,116,Arnot Ogden Medical Center,49,4,Bacterial & Tuberculous Infections Of Nervous System,Extreme,M,Medical,1,80745.35,80745.35,28676.43,28676.43
2013,116,Arnot Ogden Medical Center,50,2,Non-Bacterial Infections Of Nervous System Exc Viral Meningitis,Moderate,M,Medical,1,22965.5,22965.5,8388.16,8388.16
2013,116,Arnot Ogden Medical Center,51,1,Viral Meningitis,Minor,M,Medical,8,9904.86,8821.37,4000.57,4030.63
2013,116,Arnot Ogden Medical Center,51,2,Viral Meningitis,Moderate,M,Medical,6,18141.04,17131.41,7684.77,7587.48
2013,116,Arnot Ogden Medical Center,51,3,Viral Meningitis,Major,M,Medical,3,51666.05,40845.23,17172.29,15176.47
2013,116,Arnot Ogden Medical Center,52,1,Nontraumatic Stupor & Coma,Minor,M,Medical,1,11639.96,11639.96,4192.17,4192.17
2013,116,Arnot Ogden Medical Center,52,2,Nontraumatic Stupor & Coma,Moderate,M,Medical,9,17916.49,16701.62,6244.91,5982.51
2013,116,Arnot Ogden Medical Center,52,3,Nontraumatic Stupor & Coma,Major,M,Medical,15,17182.65,13303.23,6300.72,4917.49
2013,116,Arnot Ogden Medical Center,52,4,Nontraumatic Stupor & Coma,Extreme,M,Medical,4,15045.58,13272.37,4083.47,4170.86
2013,116,Arnot Ogden Medical Center,53,1,Seizure,Minor,M,Medical,28,7636.08,7856.46,2675.74,2341.52
2013,116,Arnot Ogden Medical Center,53,2,Seizure,Moderate,M,Medical,37,11213.32,10204.28,3715.08,3299.25
2013,116,Arnot Ogden Medical Center,53,3,Seizure,Major,M,Medical,12,18645.42,17684.36,7135.84,6650.23
2013,116,Arnot Ogden Medical Center,53,4,Seizure,Extreme,M,Medical,3,53482.76,54186.49,17621.37,17061.03
2013,116,Arnot Ogden Medical Center,54,1,Migraine & Other Headaches,Minor,M,Medical,13,10734.77,10040.38,3297.9,2802.35
2013,116,Arnot Ogden Medical Center,54,2,Migraine & Other Headaches,Moderate,M,Medical,9,10309.14,8894.68,3353.35,2926.82
2013,116,Arnot Ogden Medical Center,54,3,Migraine & Other Headaches,Major,M,Medical,1,30684.48,30684.48,12123.56,12123.56
2013,116,Arnot Ogden Medical Center,55,1,Head Trauma W Coma >1 Hr Or Hemorrhage,Minor,M,Medical,1,10320.92,10320.92,4251.44,4251.44
2013,116,Arnot Ogden Medical Center,55,2,Head Trauma W Coma >1 Hr Or Hemorrhage,Moderate,M,Medical,14,17005.88,14095.97,5066.73,3141.9
2013,116,Arnot Ogden Medical Center,55,3,Head Trauma W Coma >1 Hr Or Hemorrhage,Major,M,Medical,6,34629.22,17495.44,12197.59,5842.05
2013,116,Arnot Ogden Medical Center,55,4,Head Trauma W Coma >1 Hr Or Hemorrhage,Extreme,M,Medical,3,46844,43175.72,15613.3,12827.01
2013,116,Arnot Ogden Medical Center,56,1,"Brain Contusion/Laceration & Complicated Skull Fx, Coma < 1 Hr Or No Coma",Minor,M,Medical,2,17232.21,17232.21,5103.13,5103.13
2013,116,Arnot Ogden Medical Center,56,2,"Brain Contusion/Laceration & Complicated Skull Fx, Coma < 1 Hr Or No Coma",Moderate,M,Medical,2,10312.88,10312.88,1983.76,1983.76
2013,116,Arnot Ogden Medical Center,56,3,"Brain Contusion/Laceration & Complicated Skull Fx, Coma < 1 Hr Or No Coma",Major,M,Medical,2,26675.85,26675.85,8205.14,8205.14
2013,116,Arnot Ogden Medical Center,57,1,"Concussion, Closed Skull Fx Nos,Uncomplicated Intracranial Injury, Coma < 1 Hr Or No Coma",Minor,M,Medical,2,8916.28,8916.28,1570.66,1570.66
2013,116,Arnot Ogden Medical Center,57,2,"Concussion, Closed Skull Fx Nos,Uncomplicated Intracranial Injury, Coma < 1 Hr Or No Coma",Moderate,M,Medical,3,14375.76,17600.4,4063.53,4060.13
2013,116,Arnot Ogden Medical Center,57,3,"Concussion, Closed Skull Fx Nos,Uncomplicated Intracranial Injury, Coma < 1 Hr Or No Coma",Major,M,Medical,1,64024.72,64024.72,21332.78,21332.78
2013,116,Arnot Ogden Medical Center,58,1,Other Disorders Of Nervous System,Minor,M,Medical,6,9644.38,9189.13,3415.86,3316.84
2013,116,Arnot Ogden Medical Center,58,2,Other Disorders Of Nervous System,Moderate,M,Medical,16,11952.46,10688.98,4138.62,3352.39
2013,116,Arnot Ogden Medical Center,58,3,Other Disorders Of Nervous System,Major,M,Medical,8,17224.06,15485.58,5876.69,4868.97
2013,116,Arnot Ogden Medical Center,70,2,Orbital Procedures,Moderate,P,Surgical,2,19610.08,19610.08,6599.79,6599.79
2013,116,Arnot Ogden Medical Center,80,1,Acute Major Eye Infections,Minor,M,Medical,2,9967.78,9967.78,4739.64,4739.64
2013,116,Arnot Ogden Medical Center,80,2,Acute Major Eye Infections,Moderate,M,Medical,1,13045.1,13045.1,6841.79,6841.79
2013,116,Arnot Ogden Medical Center,82,1,Eye Disorders Except Major Infections,Minor,M,Medical,2,14709.97,14709.97,5314.25,5314.25
2013,116,Arnot Ogden Medical Center,82,2,Eye Disorders Except Major Infections,Moderate,M,Medical,1,10258.32,10258.32,3501.12,3501.12
2013,116,Arnot Ogden Medical Center,89,1,Major Cranial/Facial Bone Procedures,Minor,P,Surgical,1,36103.12,36103.12,11444.05,11444.05
2013,116,Arnot Ogden Medical Center,89,2,Major Cranial/Facial Bone Procedures,Moderate,P,Surgical,1,38285.91,38285.91,13585.59,13585.59
2013,116,Arnot Ogden Medical Center,92,2,Facial Bone Procedures Except Major Cranial/Facial Bone Procedures,Moderate,P,Surgical,1,27017.97,27017.97,9483.55,9483.55
2013,116,Arnot Ogden Medical Center,93,2,Sinus & Mastoid Procedures,Moderate,P,Surgical,1,25194.87,25194.87,9389.64,9389.64
2013,116,Arnot Ogden Medical Center,97,1,Tonsil & Adenoid Procedures,Minor,P,Surgical,5,8402.81,8925.58,2359.6,2333.42
2013,116,Arnot Ogden Medical Center,97,2,Tonsil & Adenoid Procedures,Moderate,P,Surgical,2,16372.38,16372.38,5490.4,5490.4
2013,116,Arnot Ogden Medical Center,97,3,Tonsil & Adenoid Procedures,Major,P,Surgical,1,12482.97,12482.97,4325.67,4325.67
2013,116,Arnot Ogden Medical Center,98,1,"Other Ear, Nose, Mouth & Throat Procedures",Minor,P,Surgical,1,12956.15,12956.15,3339.94,3339.94
2013,116,Arnot Ogden Medical Center,98,2,"Other Ear, Nose, Mouth & Throat Procedures",Moderate,P,Surgical,4,25047.13,13541.92,8156.55,4588.01
2013,116,Arnot Ogden Medical Center,110,3,"Ear, Nose, Mouth, Throat, Cranial/Facial Malignancies",Major,M,Medical,1,7399.52,7399.52,3555.21,3555.21
2013,116,Arnot Ogden Medical Center,111,1,Vertigo & Other Labyrinth Disorders,Minor,M,Medical,6,14298.35,14255.34,4382.25,4375.42
2013,116,Arnot Ogden Medical Center,111,2,Vertigo & Other Labyrinth Disorders,Moderate,M,Medical,12,16662.6,15529.6,5595.48,4620.58
2013,116,Arnot Ogden Medical Center,113,1,Infections Of Upper Respiratory Tract,Minor,M,Medical,5,6601.56,5233.18,2495.5,2427.81
2013,116,Arnot Ogden Medical Center,113,2,Infections Of Upper Respiratory Tract,Moderate,M,Medical,14,8512.31,7124.97,2946.87,2284.74
2013,116,Arnot Ogden Medical Center,113,3,Infections Of Upper Respiratory Tract,Major,M,Medical,2,11322.81,11322.81,4511.16,4511.16
2013,116,Arnot Ogden Medical Center,114,1,Dental & Oral Diseases & Injuries,Minor,M,Medical,1,2698.97,2698.97,2170.1,2170.1
2013,116,Arnot Ogden Medical Center,114,2,Dental & Oral Diseases & Injuries,Moderate,M,Medical,5,11276.89,8622.4,4701.17,4921.08
2013,116,Arnot Ogden Medical Center,115,1,"Other Ear, Nose, Mouth,Throat & Cranial/Facial Diagnoses",Minor,M,Medical,5,8719.87,7614.73,3245.79,3074.36
2013,116,Arnot Ogden Medical Center,115,2,"Other Ear, Nose, Mouth,Throat & Cranial/Facial Diagnoses",Moderate,M,Medical,6,12885.32,9807.19,4583.73,3358.43
2013,116,Arnot Ogden Medical Center,115,3,"Other Ear, Nose, Mouth,Throat & Cranial/Facial Diagnoses",Major,M,Medical,2,24418.67,24418.67,8673.44,8673.44
2013,116,Arnot Ogden Medical Center,120,1,Major Respiratory & Chest Procedures,Minor,P,Surgical,2,36101.85,36101.85,11049.08,11049.08
2013,116,Arnot Ogden Medical Center,120,2,Major Respiratory & Chest Procedures,Moderate,P,Surgical,3,47119.77,42353.49,14820.2,11961.25
2013,116,Arnot Ogden Medical Center,120,3,Major Respiratory & Chest Procedures,Major,P,Surgical,10,64373.46,64948.46,22701.84,22637.09
2013,116,Arnot Ogden Medical Center,120,4,Major Respiratory & Chest Procedures,Extreme,P,Surgical,2,102079.81,102079.81,31098.1,31098.1
2013,116,Arnot Ogden Medical Center,121,1,Other Respiratory & Chest Procedures,Minor,P,Surgical,8,22288.23,23054.81,6719.55,6300.5
2013,116,Arnot Ogden Medical Center,121,2,Other Respiratory & Chest Procedures,Moderate,P,Surgical,16,29133.96,25245.51,9981.04,9559.81
2013,116,Arnot Ogden Medical Center,121,3,Other Respiratory & Chest Procedures,Major,P,Surgical,5,56412.73,55521.54,18531.2,16557.67
